PARCEL_NO,ParcelNo
16 27857.,16027857.
22 8148.,22008148.
18 6417.,18006417.
18 6417.,18006417.
21 31886.,21031886.
21 47133.,21047133.
22 105694.,22105694.
22 109054.,22109054.
22 8015-8,22008015-8
14 13025.,14013025.
15 4253.,15004253.
22 106437.,22106437.
22 106438-9,22106438-9
22 107992.,22107992.
18 14305.,18014305.
14 4640.,14004640.
14 5017.,14005017.
22 100248.,22100248.
22 123752.,22123752.
16 21583-4,16021583-4
22 61447.,22061447.
16 42073.,16042073.
22 123948.,22123948.
12 9730.,12009730.
22 60255.,22060255.
13 5858.,13005858.
4  1530-41,040 1530-41
17 8173.,17008173.
17 8193-4,17008193-4
22 56877.,22056877.
2  119-36,0200 119-36
8  4652.,080 4652.
21 28249-52,21028249-52
22 11530-8,22011530-8
1  7074-8,010 7074-8
19 1590.,19001590.
19 1590.,19001590.
2  1880.,020 1880.
22 50696-7,22050696-7
22 100247.,22100247.
2  1944.,020 1944.
22 4774.,22004774.
22 49432.,22049432.
2  693.,0200 693.
8  24.,08000 24.
21 79759-60,21079759-60
21 32325.,21032325.
2  5584.,020 5584.
22 58564.,22058564.
6  3105.,060 3105.
1  3648.,010 3648.
3  2772.,030 2772.
5  4883.,050 4883.
1  3422.,010 3422.
3  2202.,030 2202.
3  2520.,030 2520.
6  2994.,060 2994.
1  2969.,010 2969.
22 16800-4,22016800-4
3  2442.,030 2442.
5  2869.,050 2869.
5  2871.,050 2871.
5  2731.,050 2731.
2  1575.,020 1575.
22 10504.,22010504.
5  4527-8,050 4527-8
21 27749.,21027749.
22 54564.,22054564.
22 89067.,22089067.
22 19877-8,22019877-8
22 90471.,22090471.
22 90472.,22090472.
16 25746.,16025746.
18 14806.,18014806.
15 8099.,15008099.
15 13472.,15013472.
22 113431.,22113431.
15 11772.,15011772.
1  2484.,010 2484.
3  2063.,030 2063.
3  2010.,030 2010.
1  2416.,010 2416.
3  1927.,030 1927.
3  1926.,030 1926.
3  2035.,030 2035.
6  1810.,060 1810.
22 61652.023,22061652.023
22 88307.,22088307.
6  5896.,060 5896.
2  850.,0200 850.
17 585.,17000585.
21 37627.,21037627.
21 39863.,21039863.
20 1630.,20001630.
22 24545-6,22024545-6
1  287-90,0100 287-90
17 7428.,17007428.
3 1518.,03001518.
13 23077-8,13023077-8
22 42782.,22042782.
16 8658.,16008658.
17 9972-81,17009972-81
15 6672.,15006672.
22 103032.,22103032.
3 1518.,03001518.
9  7753-8,090 7753-8
18 411-4,18000411-4
19 547.,19000547.
17 6192.,17006192.
22 50748-53,22050748-53
3  194.,0300 194.
22 50754-62,22050754-62
10 2488.,10002488.
22 87266.,22087266.
22 103032.,22103032.
21 66757.,21066757.
12 1137-8,12001137-8
2  1485.,020 1485.
16 25697.,16025697.
14 1596.,14001596.
16 9512-4,16009512-4
8  7598.,080 7598.
6  776-84,0600 776-84
11 2279-83,11002279-83
22 73148.001,22073148.001
16 9518-25,16009518-25
13 8472-82,13008472-82
22 91587.,22091587.
22 16625-9,22016625-9
15 9739.,15009739.
22 18779.006L,22018779.006L
17 5019-25,17005019-25
22 47580.,22047580.
22 14330.,22014330.
16 25947.,16025947.
1  4299.,010 4299.
1  3994-8,010 3994-8
6  5853.,060 5853.
2  1892.,020 1892.
2  1842.,020 1842.
21 28198-211,21028198-211
22 59419.,22059419.
22 55721.,22055721.
22 96076.016,22096076.016
22 83926.,22083926.
22 79660.,22079660.
22 78489.,22078489.
22 78147.,22078147.
22 76187.,22076187.
21 59482.,21059482.
22 87877.,22087877.
21 14911.,21014911.
5  2543-7,050 2543-7
16 19231.,16019231.
22 64929.,22064929.
21 10998.,21010998.
21 26536.,21026536.
22 88166.,22088166.
22 17704.,22017704.
21 62641.001,21062641.001
22 46321.,22046321.
20 17647.,20017647.
21 307.,21000307.
20 15960.,20015960.
20 15420.,20015420.
20 16326.,20016326.
22 18796-8,22018796-8
20 18405.,20018405.
20 15960.,20015960.
21 58472.,21058472.
20 16371.,20016371.
20 16278.,20016278.
22 49037.,22049037.
20 15414.,20015414.
16 29830.,16029830.
8  4289.,080 4289.
22 117242.,22117242.
21 74844.,21074844.
21 65783.,21065783.
22 26806.,22026806.
22 125106.,22125106.
2  4586.,020 4586.
9  16726-7,09 16726-7
21 13223.,21013223.
8  10710.,08 10710.
9  17332.,09 17332.
22 117302.,22117302.
4  816.,0400 816.
21 74014.,21074014.
18 16278-9,18016278-9
3  165-73,0300 165-73
21 18681.,21018681.
22 99388.,22099388.
9  10403.,09 10403.
1  226-31,0100 226-31
22 30208.,22030208.
21 26215.,21026215.
22 18498.002,22018498.002
10 2518.,10002518.
13 5386.002,13005386.002
22 71721.,22071721.
20 18435.,20018435.
22 18262-3,22018262-3
22 69890.,22069890.
20 14593.,20014593.
22 7476.,22007476.
22 16832.,22016832.
17 10004-5,17010004-5
2  1888-9,020 1888-9
17 10004-5,17010004-5
9  9962.,090 9962.
13 11459.,13011459.
11 75.,11000075.
18 421-2,18000421-2
21 3637-8,21003637-8
13 11702.,13011702.
1  4185.,010 4185.
15 5221-5,15005221-5
2  1829.,020 1829.
16 25911.,16025911.
18 9887-91,18009887-91
21 49926.,21049926.
18 5907.,18005907.
22 58921.,22058921.
22 34617.,22034617.
21 13818.,21013818.
16 33448.,16033448.
21 53611.,21053611.
10 2312.,10002312.
21 53610.,21053610.
16 40510.,16040510.
22 99391.,22099391.
16 29659.,16029659.
21 35346.,21035346.
17 6168.,17006168.
12 11090.,12011090.
1  293.,0100 293.
16 43191.,16043191.
1  259-66,0100 259-66
7  2456.,070 2456.
3  846-99,0300 846-99
4  3194.,040 3194.
18 9947-55,18009947-55
22 21950.,22021950.
1  138.,0100 138.
19 1598.,19001598.
16 7653-7,16007653-7
2  1774-5,020 1774-5
22 61226.,22061226.
9  17336.,09 17336.
13 6809.,13006809.
13 19433.,13019433.
13 6809.,13006809.
13 15061.,13015061.
22 58374.,22058374.
10 582-5,10000582-5
14 409.,14000409.
2  2110.,020 2110.
8  5831.,080 5831.
17 3164.,17003164.
22 60440.,22060440.
1  4097.,010 4097.
1  291.,0100 291.
22 67713.,22067713.
21 78875.,21078875.
14 12331.,14012331.
13 16642.011,13016642.011
22 49983.,22049983.
22 98042.,22098042.
20 6548-50,20006548-50
12 2013.,12002013.
21 2302-4,21002302-4
13 23491.,13023491.
16 10394.,16010394.
1  5997.,010 5997.
22 111620.,22111620.
20 15345-6,20015345-6
22 27973.,22027973.
22 60007.,22060007.
21 75026-7,21075026-7
2  4657.,020 4657.
4  2312.,040 2312.
19 3314.,19003314.
19 6133.001,19006133.001
4  1413-4,040 1413-4
13 16018-19,13016018-19
22 126039.,22126039.
16 33856.,16033856.
22 78733.,22078733.
22 81497.,22081497.
13 6809.,13006809.
8  10620.,08 10620.
4  2595.,040 2595.
20 14069.,20014069.
1  9307.,010 9307.
22 1540-2,22001540-2
13 12425.,13012425.
14 473.006,14000473.006
22 19031.005,22019031.005
2  662.,0200 662.
22 17288-90,22017288-90
2  279.,0200 279.
18 1327-9,18001327-9
22 7-10,22000007-10
17 45.,17000045.
22 30709.,22030709.
13 6809.,13006809.
13 6809.,13006809.
13 6809.,13006809.
13 6809.,13006809.
13 6809.,13006809.
13 6809.,13006809.
4  2312.,040 2312.
13 6809.,13006809.
13 6809.,13006809.
13 6809.,13006809.
22 101291.,22101291.
